Year,Element,Value
2012,Area harvested,400.0
2012,Production,560.0
2013,Area harvested,650.0
2013,Production,1668.0
2014,Area harvested,300.0
2014,Production,2500.0
2015,Area harvested,1158.0
2015,Production,10585.0
2016,Area harvested,1945.0
2016,Production,22978.29
2017,Area harvested,4134.0
2017,Production,52301.0
2018,Area harvested,6011.0
2018,Production,94805.0
2019,Area harvested,8490.0
2019,Production,147900.0
2020,Area harvested,9110.0
2020,Production,179305.0
2021,Area harvested,16041.0
2021,Production,227971.0
