Item,Year,Value
Bananas,2012,2233649.3
Bananas,2013,2279848.0
Bananas,2014,2291877.0
Bananas,2015,2313200.0
Bananas,2016,2234640.7
Bananas,2017,2141657.0
Bananas,2018,2356959.56
Bananas,2019,2427578.5
Bananas,2020,2496806.08
Bananas,2021,2552145.18
Blueberries,2012,960.0
Blueberries,2013,2318.0
Blueberries,2014,2800.0
Blueberries,2015,11743.0
Blueberries,2016,24923.29
Blueberries,2017,56435.0
Blueberries,2018,100816.0
Blueberries,2019,156390.0
Blueberries,2020,188415.0
Blueberries,2021,244012.0
Maize (corn),2012,2179817.6399999997
Maize (corn),2013,2181532.0
Maize (corn),2014,2013683.0
Maize (corn),2015,2260262.0
Maize (corn),2016,2028246.17
Maize (corn),2017,1969895.0
Maize (corn),2018,2035603.0
Maize (corn),2019,2028246.0
Maize (corn),2020,1883846.0
Maize (corn),2021,2024148.0
Potatoes,2012,4786939.65
Potatoes,2013,4887805.0
Potatoes,2014,5023367.0
Potatoes,2015,5020487.0
Potatoes,2016,5720408.02
Potatoes,2017,5086694.0
Potatoes,2018,5456791.31
Potatoes,2019,5720408.02
Potatoes,2020,5848531.0
Potatoes,2021,5992047.0
Rice,2012,3434249.45
Rice,2013,3446585.0
Rice,2014,3277981.0
Rice,2015,3550909.0
Rice,2016,3605370.47
Rice,2017,3541797.0
Rice,2018,3995837.99
Rice,2019,3605370.47
Rice,2020,3851109.0
Rice,2021,3892120.0
Sugar cane,2012,10449992.0
Sugar cane,2013,11074445.3
Sugar cane,2014,11479974.19
Sugar cane,2015,10296430.0
Sugar cane,2016,9920221.59
Sugar cane,2017,9477142.0
Sugar cane,2018,10421015.91
Sugar cane,2019,10989378.88
Sugar cane,2020,10553390.33
Sugar cane,2021,9912659.68
