Year,Element,Item,Value
2012,Area harvested,Bananas,151560.0
2012,Area harvested,Blueberries,400.0
2012,Area harvested,Maize (corn),505944.0
2012,Area harvested,Potatoes,312227.0
2012,Area harvested,Rice,390919.0
2012,Area harvested,Sugar cane,81126.0
2012,Production,Bananas,2082089.3
2012,Production,Blueberries,560.0
2012,Production,Maize (corn),1673873.64
2012,Production,Potatoes,4474712.65
2012,Production,Rice,3043330.45
2012,Production,Sugar cane,10368866.0
2021,Area harvested,Bananas,174100.0
2021,Area harvested,Blueberries,16041.0
2021,Area harvested,Maize (corn),442013.0
2021,Area harvested,Potatoes,330604.0
2021,Area harvested,Rice,417813.0
2021,Area harvested,Sugar cane,84852.0
2021,Production,Bananas,2378045.18
2021,Production,Blueberries,227971.0
2021,Production,Maize (corn),1582135.0
2021,Production,Potatoes,5661443.0
2021,Production,Rice,3474307.0
2021,Production,Sugar cane,9827807.68
